;;Objetivo;Objetivo;Objetivo;Objetivo;Objetivo;Gap;Gap;Gap;Gap;Gap;Tiempo;Tiempo;Tiempo;Tiempo;Tiempo
;;count;mean;std;min;max;count;mean;std;min;max;count;mean;std;min;max
Escenario;Config;;;;;;;;;;;;;;;
run_200p_10c;Limite_20s;28;18681.98;1647.3;14914.5;21053.0;28;0.06;0.08;0.0;0.25;28;12.72;8.08;2.64;20.17
run_200p_10c;Limite_300s;29;18458.88;1610.6;14914.5;21053.0;29;0.01;0.02;0.0;0.06;29;77.97;118.42;2.63;300.17
run_200p_10c;Limite_60s;29;18473.53;1599.44;14914.5;21053.0;29;0.01;0.03;0.0;0.13;29;25.44;22.89;2.63;60.14
run_400p_10c;Limite_20s;30;51552.45;3749.88;45283.5;59996.0;30;0.03;0.02;0.0;0.07;30;18.63;3.48;5.03;20.12
run_400p_10c;Limite_300s;30;51521.52;3765.55;45273.5;59996.0;30;0.0;0.01;0.0;0.05;30;76.09;87.35;5.06;299.88
run_400p_10c;Limite_60s;30;51521.8;3765.77;45273.5;59996.0;30;0.01;0.02;0.0;0.06;30;41.03;18.11;5.03;60.11
run_400p_20c;Limite_20s;30;48204.58;6002.96;36834.02;60361.52;30;0.35;0.09;0.16;0.52;30;19.87;0.3;19.48;20.81
run_400p_20c;Limite_300s;30;36990.95;3709.02;31858.0;46319.0;30;0.03;0.03;0.0;0.1;30;204.66;109.31;26.08;299.92
run_400p_20c;Limite_60s;30;37551.63;3804.73;32751.0;46424.0;30;0.08;0.06;0.0;0.24;30;55.19;10.29;25.98;59.9
run_400p_25c;Limite_20s;30;49554.64;8209.79;29503.5;60811.5;30;0.66;0.06;0.45;0.82;30;19.87;0.68;19.28;21.83
run_400p_25c;Limite_300s;30;29785.18;3231.21;24703.0;36820.5;30;0.1;0.07;0.0;0.24;30;287.94;33.16;156.24;300.34
run_400p_25c;Limite_60s;30;35377.35;7406.68;26594.0;60504.0;30;0.26;0.16;0.02;0.56;30;59.48;0.21;59.08;60.07
run_400p_30c;Limite_20s;30;53340.52;6219.46;40085.63;63633.53;30;0.9;0.07;0.74;1.04;30;19.53;0.4;19.0;20.67
run_400p_30c;Limite_300s;30;21477.65;3843.01;13321.5;33541.0;30;0.24;0.11;0.04;0.49;30;299.41;0.33;298.97;300.49
run_400p_30c;Limite_60s;30;48249.13;11483.92;22264.53;63058.55;30;0.67;0.15;0.23;0.85;30;59.79;0.74;59.01;62.19
run_400p_40c;Limite_20s;30;-13831.1;9768.73;-20521.29;33734.01;30;1.01;0.06;1.0;1.35;30;18.65;1.14;16.84;22.38
run_400p_40c;Limite_300s;30;6921.54;3968.02;1072.01;19343.0;30;1.3;0.9;0.34;4.13;30;298.23;1.96;293.53;302.4
run_400p_40c;Limite_60s;30;12750.92;32195.18;-19849.29;61460.57;30;1.12;0.17;0.99;1.61;30;63.16;5.56;55.12;81.9
