Escenario;Config;Coste_Medio;Tiempo_Medio;Gap_Medio;N_Optimos;N_GapAlto;Total_Iteraciones;%_Exito
Archivo;Config;0.0;0.0;0.0;1;0;1;100.0
run_100p_05c;Limite_20s;8651.82;0.81;0.0;29;0;30;96.67
run_100p_05c;Limite_300s;8651.82;10.15;0.0;29;0;30;96.67
run_100p_05c;Limite_60s;8651.82;2.15;0.0;29;0;30;96.67
run_100p_10c;Limite_20s;1350.95;1.75;0.0;28;0;30;93.33
run_100p_10c;Limite_300s;1350.95;11.47;0.0;29;0;30;96.67
run_100p_10c;Limite_60s;1350.95;3.47;0.0;29;0;30;96.67
run_40p_05c;Limite_20s;1462.67;1.28;0.01;29;0;30;96.67
run_40p_05c;Limite_300s;1462.2;4.21;0.0;30;0;30;100.0
run_40p_05c;Limite_60s;1462.67;2.61;0.01;29;0;30;96.67
run_60p_05c;Limite_20s;2184.63;1.07;0.0;29;0;30;96.67
run_60p_05c;Limite_300s;2184.58;10.41;0.0;29;0;30;96.67
run_60p_05c;Limite_60s;2184.58;2.39;0.0;29;0;30;96.67
run_80p_05c;Limite_20s;5715.07;0.87;0.0;29;0;30;96.67
run_80p_05c;Limite_300s;5715.07;10.21;0.0;29;0;30;96.67
run_80p_05c;Limite_60s;5715.07;2.2;0.0;29;0;30;96.67
