Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_100p_05c_iter17.dat;600;25;Limite_60s;ok/optimal;9889,5;0,0;0,21
bateria_pruebas\run_100p_05c_iter17.dat;600;25;Limite_300s;ok/optimal;9889,5;0,0;0,2
bateria_pruebas\run_100p_05c_iter18.dat;600;25;Limite_20s;ok/optimal;8682,0;0,0;0,15
bateria_pruebas\run_100p_05c_iter18.dat;600;25;Limite_60s;ok/optimal;8682,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter18.dat;600;25;Limite_300s;ok/optimal;8682,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter19.dat;600;25;Limite_20s;ok/optimal;7666,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter19.dat;600;25;Limite_60s;ok/optimal;7666,0;0,0;0,15
bateria_pruebas\run_100p_05c_iter19.dat;600;25;Limite_300s;ok/optimal;7666,0;0,0;0,15
bateria_pruebas\run_100p_05c_iter20.dat;600;25;Limite_20s;ok/optimal;8081,002174622159;0,0;0,18
bateria_pruebas\run_100p_05c_iter20.dat;600;25;Limite_60s;ok/optimal;8081,002174622159;0,0;0,19
bateria_pruebas\run_100p_05c_iter20.dat;600;25;Limite_300s;ok/optimal;8081,002174622159;0,0;0,19
bateria_pruebas\run_100p_05c_iter21.dat;600;25;Limite_20s;ok/optimal;7342,0;0,0;0,1
bateria_pruebas\run_100p_05c_iter21.dat;600;25;Limite_60s;ok/optimal;7342,0;0,0;0,1
bateria_pruebas\run_100p_05c_iter21.dat;600;25;Limite_300s;ok/optimal;7342,0;0,0;0,1
bateria_pruebas\run_100p_05c_iter22.dat;600;25;Limite_20s;ok/optimal;8228,0;0,0;0,18
bateria_pruebas\run_100p_05c_iter22.dat;600;25;Limite_60s;ok/optimal;8228,0;0,0;0,19
bateria_pruebas\run_100p_05c_iter22.dat;600;25;Limite_300s;ok/optimal;8228,0;0,0;0,18
bateria_pruebas\run_100p_05c_iter23.dat;600;25;Limite_20s;ok/optimal;8198,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter23.dat;600;25;Limite_60s;ok/optimal;8198,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter23.dat;600;25;Limite_300s;ok/optimal;8198,0;0,0;0,14
bateria_pruebas\run_100p_05c_iter24.dat;600;25;Limite_20s;ok/optimal;8907,5;0,0;0,1
bateria_pruebas\run_100p_05c_iter24.dat;600;25;Limite_60s;ok/optimal;8907,5;0,0;0,11
bateria_pruebas\run_100p_05c_iter24.dat;600;25;Limite_300s;ok/optimal;8907,5;0,0;0,12
bateria_pruebas\run_100p_05c_iter25.dat;600;25;Limite_20s;ok/optimal;6652,0;0,0;0,09
bateria_pruebas\run_100p_05c_iter25.dat;600;25;Limite_60s;ok/optimal;6652,0;0,0;0,09
bateria_pruebas\run_100p_05c_iter25.dat;600;25;Limite_300s;ok/optimal;6652,0;0,0;0,09
bateria_pruebas\run_100p_05c_iter26.dat;600;25;Limite_20s;ok/optimal;11954,0;0,0;0,1
bateria_pruebas\run_100p_05c_iter26.dat;600;25;Limite_60s;ok/optimal;11954,0;0,0;0,08
bateria_pruebas\run_100p_05c_iter26.dat;600;25;Limite_300s;ok/optimal;11954,0;0,0;0,09
bateria_pruebas\run_100p_05c_iter27.dat;600;25;Limite_20s;ok/optimal;8428,5;0,0;0,1
bateria_pruebas\run_100p_05c_iter27.dat;600;25;Limite_60s;ok/optimal;8428,5;0,0;0,09
bateria_pruebas\run_100p_05c_iter27.dat;600;25;Limite_300s;ok/optimal;8428,5;0,0;0,1
bateria_pruebas\run_100p_05c_iter28.dat;600;25;Limite_20s;ok/optimal;7811,5;0,0;0,24
bateria_pruebas\run_100p_05c_iter28.dat;600;25;Limite_60s;ok/optimal;7811,5;0,0;0,22
bateria_pruebas\run_100p_05c_iter28.dat;600;25;Limite_300s;ok/optimal;7811,5;0,0;0,21
bateria_pruebas\run_100p_05c_iter29.dat;600;25;Limite_20s;ok/optimal;8458,0;0,0;0,08
bateria_pruebas\run_100p_05c_iter29.dat;600;25;Limite_60s;ok/optimal;8458,0;0,0;0,07
bateria_pruebas\run_100p_05c_iter29.dat;600;25;Limite_300s;ok/optimal;8458,0;0,0;0,08
bateria_pruebas\run_100p_05c_iter30.dat;600;25;Limite_20s;ok/optimal;9753,5;0,0;0,13
bateria_pruebas\run_100p_05c_iter30.dat;600;25;Limite_60s;ok/optimal;9753,5;0,0;0,13
bateria_pruebas\run_100p_05c_iter30.dat;600;25;Limite_300s;ok/optimal;9753,5;0,0;0,12
bateria_pruebas\run_100p_10c_iter01.dat;600;50;Limite_20s;ok/optimal;1104,5;0,0;0,2
bateria_pruebas\run_100p_10c_iter01.dat;600;50;Limite_60s;ok/optimal;1104,5;0,0;0,2
bateria_pruebas\run_100p_10c_iter01.dat;600;50;Limite_300s;ok/optimal;1104,5;0,0;0,21
bateria_pruebas\run_100p_10c_iter02.dat;600;50;Limite_20s;ok/optimal;3377,0;0,0;0,8
bateria_pruebas\run_100p_10c_iter02.dat;600;50;Limite_60s;ok/optimal;3377,0;0,0;0,8
bateria_pruebas\run_100p_10c_iter02.dat;600;50;Limite_300s;ok/optimal;3377,0;0,0;0,8
bateria_pruebas\run_100p_10c_iter03.dat;600;50;Limite_20s;ok/optimal;433,50217462215915;0,0;1,16
bateria_pruebas\run_100p_10c_iter03.dat;600;50;Limite_60s;ok/optimal;433,50217462215915;0,0;1,15
bateria_pruebas\run_100p_10c_iter03.dat;600;50;Limite_300s;ok/optimal;433,50217462215915;0,0;1,15
bateria_pruebas\run_100p_10c_iter04.dat;600;50;Limite_20s;ok/optimal;1015,5065238664783;0,0;0,31
bateria_pruebas\run_100p_10c_iter04.dat;600;50;Limite_60s;ok/optimal;1015,5065238664783;0,0;0,31
bateria_pruebas\run_100p_10c_iter04.dat;600;50;Limite_300s;ok/optimal;1015,5065238664783;0,0;0,31
bateria_pruebas\run_100p_10c_iter05.dat;600;50;Limite_20s;ok/optimal;3697,502174622159;0,0;0,51
bateria_pruebas\run_100p_10c_iter05.dat;600;50;Limite_60s;ok/optimal;3697,502174622159;0,0;0,52
bateria_pruebas\run_100p_10c_iter05.dat;600;50;Limite_300s;ok/optimal;3697,502174622159;0,0;0,52
bateria_pruebas\run_100p_10c_iter06.dat;600;50;Limite_20s;ok/optimal;1028,0021746221591;0,0;0,28
bateria_pruebas\run_100p_10c_iter06.dat;600;50;Limite_60s;ok/optimal;1028,0021746221591;0,0;0,29
bateria_pruebas\run_100p_10c_iter06.dat;600;50;Limite_300s;ok/optimal;1028,0021746221591;0,0;0,29
bateria_pruebas\run_100p_10c_iter07.dat;600;50;Limite_20s;ok/optimal;483,5;0,0;0,37
bateria_pruebas\run_100p_10c_iter07.dat;600;50;Limite_60s;ok/optimal;483,5;0,0;0,35
bateria_pruebas\run_100p_10c_iter07.dat;600;50;Limite_300s;ok/optimal;483,5;0,0;0,36
bateria_pruebas\run_100p_10c_iter08.dat;600;50;Limite_20s;ok/optimal;99,5043492443192;0,0;0,6
bateria_pruebas\run_100p_10c_iter08.dat;600;50;Limite_60s;ok/optimal;99,5043492443192;0,0;0,59
bateria_pruebas\run_100p_10c_iter08.dat;600;50;Limite_300s;ok/optimal;99,5043492443192;0,0;0,59
bateria_pruebas\run_100p_10c_iter09.dat;600;50;Limite_20s;ok/optimal;3415,5;0,0;0,15
bateria_pruebas\run_100p_10c_iter09.dat;600;50;Limite_60s;ok/optimal;3415,5;0,0;0,15
bateria_pruebas\run_100p_10c_iter09.dat;600;50;Limite_300s;ok/optimal;3415,5;0,0;0,16
bateria_pruebas\run_100p_10c_iter10.dat;600;50;Limite_20s;aborted/maxTimeLimit;479,50217462215915;0,035397;20,02
bateria_pruebas\run_100p_10c_iter10.dat;600;50;Limite_60s;ok/optimal;479,50217462215915;0,0;31,39
bateria_pruebas\run_100p_10c_iter10.dat;600;50;Limite_300s;ok/optimal;479,50217462215915;0,0;31,37
bateria_pruebas\run_100p_10c_iter11.dat;600;50;Limite_20s;ok/optimal;621,0;0,0;0,34
bateria_pruebas\run_100p_10c_iter11.dat;600;50;Limite_60s;ok/optimal;621,0;0,0;0,32
bateria_pruebas\run_100p_10c_iter11.dat;600;50;Limite_300s;ok/optimal;621,0;0,0;0,32
bateria_pruebas\run_100p_10c_iter12.dat;600;50;Limite_20s;ok/optimal;1396,0;0,0;0,15
bateria_pruebas\run_100p_10c_iter12.dat;600;50;Limite_60s;ok/optimal;1396,0;0,0;0,15
bateria_pruebas\run_100p_10c_iter12.dat;600;50;Limite_300s;ok/optimal;1396,0;0,0;0,16
bateria_pruebas\run_100p_10c_iter13.dat;600;50;Limite_20s;aborted/maxTimeLimit;-507,99347613352165;0,086359;20,03
bateria_pruebas\run_100p_10c_iter13.dat;600;50;Limite_60s;aborted/maxTimeLimit;-507,99347613352165;0,086359;60,09
bateria_pruebas\run_100p_10c_iter13.dat;600;50;Limite_300s;aborted/maxTimeLimit;-507,99347613352165;0,086359;300,14
bateria_pruebas\run_100p_10c_iter14.dat;600;50;Limite_20s;ok/optimal;1049,0;0,0;0,2
bateria_pruebas\run_100p_10c_iter14.dat;600;50;Limite_60s;ok/optimal;1049,0;0,0;0,2
bateria_pruebas\run_100p_10c_iter14.dat;600;50;Limite_300s;ok/optimal;1049,0;0,0;0,21
bateria_pruebas\run_100p_10c_iter15.dat;600;50;Limite_20s;ok/optimal;2725,0;0,0;0,35
bateria_pruebas\run_100p_10c_iter15.dat;600;50;Limite_60s;ok/optimal;2725,0;0,0;0,34
