Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_200p_ADR_iter15.dat;1200;75;Limite_300s;ok/optimal;14858,523920843754;0,0;5,84
bateria_pruebas\run_200p_ADR_iter16.dat;1200;75;Limite_20s;aborted/maxTimeLimit;14271,019571599434;0,011018;20,0
bateria_pruebas\run_200p_ADR_iter16.dat;1200;75;Limite_60s;ok/optimal;14271,019571599434;0,0;24,29
bateria_pruebas\run_200p_ADR_iter16.dat;1200;75;Limite_300s;ok/optimal;14271,019571599434;0,0;24,31
bateria_pruebas\run_200p_ADR_iter17.dat;1200;75;Limite_20s;aborted/maxTimeLimit;15737,523920843754;0,0138;20,03
bateria_pruebas\run_200p_ADR_iter17.dat;1200;75;Limite_60s;ok/optimal;15737,523920843754;0,0;29,99
bateria_pruebas\run_200p_ADR_iter17.dat;1200;75;Limite_300s;ok/optimal;15737,523920843754;0,0;29,87
bateria_pruebas\run_200p_ADR_iter18.dat;1200;75;Limite_20s;aborted/maxTimeLimit;14269,013047732957;0,040904;20,04
bateria_pruebas\run_200p_ADR_iter18.dat;1200;75;Limite_60s;ok/optimal;14265,013047732957;0,0;38,42
bateria_pruebas\run_200p_ADR_iter18.dat;1200;75;Limite_300s;ok/optimal;14265,013047732957;0,0;38,4
bateria_pruebas\run_200p_ADR_iter19.dat;1200;75;Limite_20s;ok/optimal;19039,517396977273;0,0;1,58
bateria_pruebas\run_200p_ADR_iter19.dat;1200;75;Limite_60s;ok/optimal;19039,517396977273;0,0;1,58
bateria_pruebas\run_200p_ADR_iter19.dat;1200;75;Limite_300s;ok/optimal;19039,517396977273;0,0;1,58
bateria_pruebas\run_200p_ADR_iter20.dat;1200;75;Limite_20s;aborted/maxTimeLimit;14663,523920843754;0,044802;20,0
bateria_pruebas\run_200p_ADR_iter20.dat;1200;75;Limite_60s;ok/optimal;14663,523920843754;0,0;26,66
bateria_pruebas\run_200p_ADR_iter20.dat;1200;75;Limite_300s;ok/optimal;14663,523920843754;0,0;26,67
bateria_pruebas\run_200p_ADR_iter21.dat;1200;75;Limite_20s;aborted/maxTimeLimit;12180,506523866477;0,041494;20,02
bateria_pruebas\run_200p_ADR_iter21.dat;1200;75;Limite_60s;ok/optimal;12180,506523866477;0,0;27,99
bateria_pruebas\run_200p_ADR_iter21.dat;1200;75;Limite_300s;ok/optimal;12180,506523866477;0,0;27,88
bateria_pruebas\run_200p_ADR_iter22.dat;1200;75;Limite_20s;ok/optimal;18143,523920843756;0,0;19,47
bateria_pruebas\run_200p_ADR_iter22.dat;1200;75;Limite_60s;ok/optimal;18143,523920843756;0,0;19,46
bateria_pruebas\run_200p_ADR_iter22.dat;1200;75;Limite_300s;ok/optimal;18143,523920843756;0,0;19,44
bateria_pruebas\run_200p_ADR_iter23.dat;1200;75;Limite_20s;ok/optimal;14337,530444710232;0,0;5,9
bateria_pruebas\run_200p_ADR_iter23.dat;1200;75;Limite_60s;ok/optimal;14337,530444710232;0,0;5,91
bateria_pruebas\run_200p_ADR_iter23.dat;1200;75;Limite_300s;ok/optimal;14337,530444710232;0,0;5,9
bateria_pruebas\run_200p_ADR_iter24.dat;1200;75;Limite_20s;ok/optimal;15997,010873110798;0,0;3,98
bateria_pruebas\run_200p_ADR_iter24.dat;1200;75;Limite_60s;ok/optimal;15997,010873110798;0,0;3,99
bateria_pruebas\run_200p_ADR_iter24.dat;1200;75;Limite_300s;ok/optimal;15997,010873110798;0,0;3,98
bateria_pruebas\run_200p_ADR_iter25.dat;1200;75;Limite_20s;aborted/maxTimeLimit;15736,028270088073;0,046949;20,0
bateria_pruebas\run_200p_ADR_iter25.dat;1200;75;Limite_60s;ok/optimal;15711,028270088073;0,0;29,61
bateria_pruebas\run_200p_ADR_iter25.dat;1200;75;Limite_300s;ok/optimal;15711,028270088073;0,0;29,61
bateria_pruebas\run_200p_ADR_iter26.dat;1200;75;Limite_20s;aborted/maxTimeLimit;12340,519571599434;0,078203;20,01
bateria_pruebas\run_200p_ADR_iter26.dat;1200;75;Limite_60s;ok/optimal;12340,519571599434;0,0;26,37
bateria_pruebas\run_200p_ADR_iter26.dat;1200;75;Limite_300s;ok/optimal;12340,519571599434;0,0;26,35
bateria_pruebas\run_200p_ADR_iter27.dat;1200;75;Limite_20s;aborted/maxTimeLimit;13838,50217462216;0,062513;20,03
bateria_pruebas\run_200p_ADR_iter27.dat;1200;75;Limite_60s;ok/optimal;13828,50217462216;0,0;50,57
bateria_pruebas\run_200p_ADR_iter27.dat;1200;75;Limite_300s;ok/optimal;13828,50217462216;0,0;50,5
bateria_pruebas\run_200p_ADR_iter28.dat;1200;75;Limite_20s;aborted/maxTimeLimit;13497,510873110798;0,014901;20,0
bateria_pruebas\run_200p_ADR_iter28.dat;1200;75;Limite_60s;ok/optimal;13497,510873110798;0,0;21,69
bateria_pruebas\run_200p_ADR_iter28.dat;1200;75;Limite_300s;ok/optimal;13497,510873110798;0,0;21,68
bateria_pruebas\run_200p_ADR_iter29.dat;1200;75;Limite_20s;ok/optimal;18222,04349244319;0,0;15,06
bateria_pruebas\run_200p_ADR_iter29.dat;1200;75;Limite_60s;ok/optimal;18222,04349244319;0,0;15,05
bateria_pruebas\run_200p_ADR_iter29.dat;1200;75;Limite_300s;ok/optimal;18222,04349244319;0,0;15,07
bateria_pruebas\run_200p_ADR_iter30.dat;1200;75;Limite_20s;aborted/maxTimeLimit;11589,510873110798;0,146449;20,0
bateria_pruebas\run_200p_ADR_iter30.dat;1200;75;Limite_60s;ok/optimal;11585,510873110798;0,0;59,17
bateria_pruebas\run_200p_ADR_iter30.dat;1200;75;Limite_300s;ok/optimal;11585,510873110798;0,0;59,25
bateria_pruebas\run_200p_normal_iter01.dat;1200;75;Limite_20s;aborted/maxTimeLimit;9666,5;0,107487;19,98
bateria_pruebas\run_200p_normal_iter01.dat;1200;75;Limite_60s;ok/optimal;9649,5;0,0;57,95
bateria_pruebas\run_200p_normal_iter01.dat;1200;75;Limite_300s;ok/optimal;9649,5;0,0;58,0
