Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_200p_ADRE_iter22.dat;1200;75;Limite_300s;ok/optimal;20831,021746221595;0,0;24,84
bateria_pruebas\run_200p_ADRE_iter23.dat;1200;75;Limite_300s;ok/optimal;17521,036968576707;0,0;43,95
bateria_pruebas\run_200p_ADRE_iter24.dat;1200;75;Limite_300s;ok/optimal;21833,53044471023;0,0;15,85
bateria_pruebas\run_200p_ADRE_iter25.dat;1200;75;Limite_300s;ok/optimal;21010,017396977273;0,0;44,15
bateria_pruebas\run_200p_ADRE_iter26.dat;1200;75;Limite_300s;ok/optimal;21577,010873110798;0,0;25,04
bateria_pruebas\run_200p_ADRE_iter27.dat;1200;75;Limite_300s;ok/optimal;19632,519571599434;0,0;3,33
bateria_pruebas\run_200p_ADRE_iter28.dat;1200;75;Limite_300s;ok/optimal;18116,02827008807;0,0;33,5
bateria_pruebas\run_200p_ADRE_iter29.dat;1200;75;Limite_300s;ok/optimal;22262,026095465913;0,0;17,33
bateria_pruebas\run_200p_ADRE_iter30.dat;1200;75;Limite_300s;ok/optimal;21387,026095465913;0,0;18,93
bateria_pruebas\run_200p_ADRM_iter01.dat;1200;75;Limite_300s;ok/optimal;14694,023920843754;0,0;7,2
bateria_pruebas\run_200p_ADRM_iter02.dat;1200;75;Limite_300s;aborted/maxTimeLimit;11036,00217462216;0,317989;300,01
bateria_pruebas\run_200p_ADRM_iter03.dat;1200;75;Limite_300s;aborted/maxTimeLimit;15758,0;0,013303;300,06
bateria_pruebas\run_200p_ADRM_iter04.dat;1200;75;Limite_300s;ok/optimal;15572,013047732957;0,0;4,99
bateria_pruebas\run_200p_ADRM_iter05.dat;1200;75;Limite_300s;aborted/maxTimeLimit;14230,0;0,012783;300,13
bateria_pruebas\run_200p_ADRM_iter06.dat;1200;75;Limite_300s;ok/optimal;11101,5;0,0;34,29
bateria_pruebas\run_200p_ADRM_iter07.dat;1200;75;Limite_300s;ok/optimal;11420,5;0,0;16,04
bateria_pruebas\run_200p_ADRM_iter08.dat;1200;75;Limite_300s;ok/optimal;10656,5;0,0;80,64
bateria_pruebas\run_200p_ADRM_iter09.dat;1200;75;Limite_300s;ok/optimal;11288,006523866477;0,0;63,83
bateria_pruebas\run_200p_ADRM_iter10.dat;1200;75;Limite_300s;ok/optimal;17199,523920843756;0,0;3,6
bateria_pruebas\run_200p_ADRM_iter11.dat;1200;75;Limite_300s;ok/optimal;11208,00217462216;0,0;35,31
bateria_pruebas\run_200p_ADRM_iter12.dat;1200;75;Limite_300s;ok/optimal;13500,00217462216;0,0;153,28
bateria_pruebas\run_200p_ADRM_iter13.dat;1200;75;Limite_300s;ok/optimal;12403,0;0,0;37,33
bateria_pruebas\run_200p_ADRM_iter14.dat;1200;75;Limite_300s;ok/optimal;12083,0;0,0;39,43
bateria_pruebas\run_200p_ADRM_iter15.dat;1200;75;Limite_300s;ok/optimal;10161,510873110798;0,0;31,84
bateria_pruebas\run_200p_ADRM_iter16.dat;1200;75;Limite_300s;ok/optimal;12955,5;0,0;217,94
bateria_pruebas\run_200p_ADRM_iter17.dat;1200;75;Limite_300s;ok/optimal;11426,013047732957;0,0;61,8
bateria_pruebas\run_200p_ADRM_iter18.dat;1200;75;Limite_300s;ok/optimal;11120,004349244318;0,0;5,14
bateria_pruebas\run_200p_ADRM_iter19.dat;1200;75;Limite_300s;ok/optimal;13230,5;0,0;3,67
bateria_pruebas\run_200p_ADRM_iter20.dat;1200;75;Limite_300s;ok/optimal;15772,515222355116;0,0;44,83
bateria_pruebas\run_200p_ADRM_iter21.dat;1200;75;Limite_300s;ok/optimal;13823,528270088073;0,0;26,91
bateria_pruebas\run_200p_ADRM_iter22.dat;1200;75;Limite_300s;aborted/maxTimeLimit;13184,004349244318;0,027027;300,05
bateria_pruebas\run_200p_ADRM_iter23.dat;1200;75;Limite_300s;ok/optimal;10888,5;0,0;36,55
bateria_pruebas\run_200p_ADRM_iter24.dat;1200;75;Limite_300s;ok/optimal;13081,0;0,0;46,23
bateria_pruebas\run_200p_ADRM_iter25.dat;1200;75;Limite_300s;ok/optimal;11367,006523866477;0,0;146,95
bateria_pruebas\run_200p_ADRM_iter26.dat;1200;75;Limite_300s;ok/optimal;13253,0;0,0;8,81
bateria_pruebas\run_200p_ADRM_iter27.dat;1200;75;Limite_300s;ok/optimal;13050,019571599434;0,0;27,81
bateria_pruebas\run_200p_ADRM_iter28.dat;1200;75;Limite_300s;ok/optimal;11333,0;0,0;25,98
bateria_pruebas\run_200p_ADRM_iter29.dat;1200;75;Limite_300s;aborted/maxTimeLimit;11489,519571599434;0,078606;300,08
bateria_pruebas\run_200p_ADRM_iter30.dat;1200;75;Limite_300s;ok/optimal;12174,508698488638;0,0;33,56
